participant_id	"gender(0 represent female, 1 represent male)"
sub-001	1
sub-002	1
sub-003	0
sub-004	1
sub-006	1
sub-007	1
sub-008	1
sub-009	1
sub-010	0
sub-011	0
sub-012	0
sub-013	0
sub-014	0
sub-015	0
sub-016	0
sub-017	0
sub-018	1
sub-019	0
sub-020	0
sub-021	0
sub-022	0
sub-023	0
sub-024	0
sub-025	0
sub-026	1
sub-027	0
sub-028	1
